AKGWA_NUMBER,lat83,lon83,County,Construction_Date,Primary_Use,Surface_Elevation,Total_Depth
40006906,38.049619,-82.733371,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,2688
40003516,37.821021,-82.780049,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,2640
40000121,37.873518,-82.78838,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,2006
40003811,38.129897,-82.6542,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,1922
40007726,38.047956,-82.738651,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,999
40000582,37.880738,-82.850601,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,690
40007129,37.837134,-82.809491,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,680,505
54950,37.971591,-82.666518,Lawrence,1/1/1990,DOMESTIC - MULTIPLE DOMESTIC HOUSEHOLDS,600,480
42492,37.908149,-82.685712,Lawrence,9/1/1995,DOMESTIC - SINGLE HOUSEHOLD,600,470
57418,37.972591,-82.711824,Lawrence,4/23/2002,DOMESTIC - SINGLE HOUSEHOLD,600,450
38804,38.0037,-82.896275,Lawrence,10/21/2000,DOMESTIC - SINGLE HOUSEHOLD,720,435
44068,37.971759,-82.6496,Lawrence,11/10/1999,DOMESTIC - SINGLE HOUSEHOLD,600,430
32524,38.010089,-82.890327,Lawrence,6/10/2001,DOMESTIC - SINGLE HOUSEHOLD,720,420
30005937,38.121074,-82.793066,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,400
40003053,37.862961,-82.903939,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,385
60135,38.025366,-82.952388,Lawrence,7/8/2003,DOMESTIC - SINGLE HOUSEHOLD,725,335
40005777,37.936015,-82.887269,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,820,330
40007461,37.935183,-82.891716,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,835,330
60000680,38.484052,-82.716439,Greenup,,DOMESTIC - SINGLE HOUSEHOLD,,310
30002292,37.853384,-82.825369,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,300
30005212,38.006281,-82.784268,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,300
60000474,37.736303,-82.687532,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,300
38804,38.0037,-82.896275,Lawrence,6/16/1995,DOMESTIC - SINGLE HOUSEHOLD,720,285
30002309,37.872784,-82.894371,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,278
60000291,38.001007,-82.998111,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,264
60000674,38.479051,-82.710601,Greenup,,DOMESTIC - SINGLE HOUSEHOLD,,230
30005912,38.010082,-82.524556,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,225
40007002,37.818517,-82.923662,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,225
40000435,37.80408,-82.844772,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,220
30002985,38.088277,-82.582855,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,201
30002971,38.031778,-82.811071,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,200
13185,38.517302,-82.792944,Greenup,1/1/1900,DOMESTIC - SINGLE HOUSEHOLD,720,185
68511,37.998089,-82.872515,Lawrence,12/1/2002,DOMESTIC - SINGLE HOUSEHOLD,800,185
10545,38.071756,-82.66976,Lawrence,8/2/1989,DOMESTIC - SINGLE HOUSEHOLD,720,180
30002324,37.886283,-82.919473,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,180
30006167,38.144374,-82.691257,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,176
30002527,37.857983,-82.904274,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,175
32517,37.910647,-82.900719,Johnson,1/1/1967,DOMESTIC - SINGLE HOUSEHOLD,760,170
30002958,37.996284,-82.711756,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,154
30002121,37.911682,-82.905068,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,152
36344,38.042032,-82.869607,Lawrence,8/24/1994,DOMESTIC - SINGLE HOUSEHOLD,700,150
30002104,37.888882,-82.842566,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,150
30005698,38.107376,-82.630654,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,150
30005940,38.139975,-82.765668,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,150
37407,38.732855,-82.90545,Greenup,1/1/1900,DOMESTIC - SINGLE HOUSEHOLD,610,140
30007052,38.056478,-82.72356,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,140
19669,38.035089,-82.839213,Lawrence,5/15/1992,DOMESTIC - SINGLE HOUSEHOLD,680,135
30002384,37.964376,-82.991771,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,135
40006610,37.804912,-82.775875,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,135
30003203,37.860985,-82.86087,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,132
60000472,37.978788,-82.959216,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,130
32518,37.883703,-82.830879,Johnson,1/1/1900,DOMESTIC - SINGLE HOUSEHOLD,710,122.5
54668,37.767483,-82.859163,Johnson,1/1/1980,,640,120
30001263,37.782791,-82.820967,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,120
30002505,37.834486,-82.872772,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,120
30005911,38.009181,-82.668656,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,120
5743,37.802037,-82.891275,Johnson,6/18/1992,DOMESTIC - SINGLE HOUSEHOLD,800,115
40001033,37.866853,-82.784214,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,112
60000297,38.013234,-82.906159,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,112
30002152,37.950383,-82.645958,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,110
40001710,37.817969,-82.782269,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,106
46810,38.027867,-82.819884,Lawrence,12/9/1996,DOMESTIC - SINGLE HOUSEHOLD,700,105
32515,37.776762,-82.830995,Johnson,1/1/1984,DOMESTIC - SINGLE HOUSEHOLD,620,103
30010193,38.179769,-82.70937,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,101
32501,38.420081,-82.840722,Greenup,1/1/1967,DOMESTIC - SINGLE HOUSEHOLD,580,100
44068,37.971759,-82.6496,Lawrence,4/3/1996,DOMESTIC - SINGLE HOUSEHOLD,600,100
30000520,37.895584,-82.880471,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,100
30005485,38.157675,-82.641558,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,100
30006606,38.263366,-82.662571,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,100
30009718,37.840689,-82.679658,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,100
30009750,37.874883,-82.811368,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,100
40007134,37.844907,-82.82894,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,100
60000287,38.073508,-82.936717,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,100
60000465,37.967397,-82.972553,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,100
60000475,37.737135,-82.679483,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,99.5
47180,38.724244,-82.954617,Greenup,1/1/1982,DOMESTIC - SINGLE HOUSEHOLD,530,98
40003289,38.554603,-82.795887,Greenup,,DOMESTIC - SINGLE HOUSEHOLD,540,98
52626,38.096199,-82.586267,Lawrence,1/1/1980,DOMESTIC - SINGLE HOUSEHOLD,620,96
30002298,37.858691,-82.665756,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,96
30002363,37.939885,-82.676759,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,96
40001714,37.820468,-82.784489,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,96
60000301,38.074619,-82.904214,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,95
47179,38.724244,-82.955451,Greenup,1/1/1900,DOMESTIC - SINGLE HOUSEHOLD,530,93
48652,38.723966,-82.956006,Greenup,1/1/1992,DOMESTIC - SINGLE HOUSEHOLD,535,92
50409,37.949815,-82.481817,Lawrence,10/27/1997,DOMESTIC - SINGLE HOUSEHOLD,600,90
30002843,37.969782,-82.829871,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,90
30004427,37.766683,-82.939471,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,90
30004462,37.800891,-82.856269,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,90
30009784,37.915586,-82.739063,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,90
40001088,37.861852,-82.768368,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,90
40002773,37.825468,-82.83116,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,90
40003261,37.77769,-82.855049,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,90
40004012,37.995181,-82.53336,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,90
47176,38.724521,-82.955173,Greenup,1/1/1900,DOMESTIC - SINGLE HOUSEHOLD,530,88
52906,37.947426,-82.496596,Lawrence,11/18/1999,DOMESTIC - SINGLE HOUSEHOLD,620,87
30005699,38.109275,-82.817771,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,87
30002978,38.063275,-82.80187,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,86
30000548,37.931984,-82.791569,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,85
30002990,38.112174,-82.755666,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,85
30003429,37.85649,-82.744861,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,85
30005491,38.251468,-82.700872,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,85
30009820,37.964283,-82.70096,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,85
40006611,37.805184,-82.951441,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,85
40007005,37.820746,-82.836439,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,85
60000672,38.442941,-82.826442,Greenup,,DOMESTIC - SINGLE HOUSEHOLD,,85
54915,37.960398,-82.489346,Lawrence,1/1/1900,DOMESTIC - SINGLE HOUSEHOLD,640,84
40001084,37.856851,-82.811437,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,84
40004542,37.847411,-82.777821,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,84
30006168,38.162469,-82.84607,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,83
40004545,37.852133,-82.762257,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,82
40005364,38.657099,-82.875617,Greenup,,DOMESTIC - SINGLE HOUSEHOLD,540,82
40006030,38.702374,-82.880623,Greenup,,DOMESTIC - SINGLE HOUSEHOLD,535,82
30000545,37.925782,-82.709559,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,80
30001130,37.82429,-82.831969,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,80
30002090,37.873186,-82.775166,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,80
30002306,37.866988,-82.688058,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,80
30002348,37.919286,-82.629257,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,80
30002980,38.066778,-82.549453,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,80
30005219,38.024975,-82.951472,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,80
30005702,38.142275,-82.80197,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,80
30009766,37.890886,-82.688058,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,80
40003510,37.815745,-82.783932,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,80
60000667,38.467107,-82.751435,Greenup,,DOMESTIC - SINGLE HOUSEHOLD,,80
40005269,37.806022,-82.768376,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,619,79
30001799,37.816385,-82.916574,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,78
40000575,37.86963,-82.773381,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,78
30007039,38.014381,-82.621758,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,76
12311,37.761207,-82.691268,Johnson,8/23/1988,DOMESTIC - SINGLE HOUSEHOLD,680,75
29505,38.550358,-82.75322,Greenup,1/1/1970,PUBLIC - COMMUNITY,546.5,75
29508,38.550358,-82.753776,Greenup,1/1/1970,PUBLIC - COMMUNITY,547.5,75
29511,38.550358,-82.752109,Greenup,1/1/1972,PUBLIC - COMMUNITY,548.4,75
30000559,37.946582,-82.815069,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,75
30001885,37.72789,-82.882172,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,75
30006144,38.025481,-82.709757,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,75
40000813,37.829076,-82.823935,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,75
40002772,37.821578,-82.769215,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,75
40002777,37.832963,-82.861717,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,75
40003513,37.819074,-82.850883,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,75
40005492,37.968518,-82.529195,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,75
40005685,37.786856,-82.845603,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,75
60000294,38.07434,-82.904497,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,75
60000671,38.449605,-82.842556,Greenup,,DOMESTIC - SINGLE HOUSEHOLD,,75
60000678,38.483495,-82.705604,Greenup,,DOMESTIC - SINGLE HOUSEHOLD,,73
30002077,37.859383,-82.92827,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,72
30002998,38.234966,-82.64976,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,72
30007050,38.042276,-82.835867,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,72
40004181,38.507661,-82.674773,Greenup,,DOMESTIC - SINGLE HOUSEHOLD,540,71
40007364,38.507382,-82.673384,Greenup,,DOMESTIC - SINGLE HOUSEHOLD,540,71
